ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.003,0.003,3.939,3.939,/scratch/nathanp/gpu-radix-sort/faasTest/f.py:45(f)
1,2.568,2.568,2.569,2.569,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/sort.py:108(sortPartial)
1,0.000,0.000,0.975,0.975,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:301(writeOutput)
1,0.000,0.000,0.516,0.516,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:215(WriteAll)
1,0.515,0.515,0.515,0.515,{method 'write' of '_io.BufferedRandom' objects}
1,0.000,0.000,0.401,0.401,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:165(Close)
1,0.228,0.228,0.401,0.401,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:127(__commitMeta)
1,0.129,0.129,0.392,0.392,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:265(readPartRefs)
1,0.000,0.000,0.263,0.263,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:236(read)
1,0.000,0.000,0.263,0.263,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:177(ReadPart)
1,0.263,0.263,0.263,0.263,{method 'readinto' of '_io.BufferedRandom' objects}
1,0.033,0.033,0.173,0.173,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:120(dump)
131082,0.019,0.000,0.120,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:413(_iterencode)
131082,0.019,0.000,0.101,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:333(_iterencode_dict)
131076,0.059,0.000,0.082,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:277(_iterencode_list)
3,0.042,0.014,0.045,0.015,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:35(__init__)
1,0.000,0.000,0.024,0.024,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:133(Create)
262175,0.023,0.000,0.023,0.000,{built-in method builtins.isinstance}
1,0.000,0.000,0.022,0.022,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:58(fromCaps)
131081,0.020,0.000,0.020,0.000,{method 'write' of '_io.TextIOWrapper' objects}
4,0.008,0.002,0.008,0.002,{built-in method numpy.array}
1,0.003,0.003,0.003,0.003,{method 'tolist' of 'numpy.ndarray' objects}
9,0.002,0.000,0.002,0.000,{method 'copy' of 'list' objects}
4,0.002,0.001,0.002,0.001,{built-in method builtins.sum}
1,0.000,0.000,0.001,0.001,<__array_function__ internals>:2(diff)
3/1,0.000,0.000,0.001,0.001,{built-in method numpy.core._multiarray_umath.implement_array_function}
