ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,{built-in method posix.stat}
1,0.000,0.000,0.000,0.000,{method 'read' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:299(loads)
6,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/pathlib.py:673(_from_parsed_parts)
6,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/pathlib.py:683(_format_parsed_parts)
1,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/ctypes/__init__.py:381(__getitem__)
1,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/ctypes/__init__.py:497(cast)
1,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/decoder.py:332(decode)
14,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/pathlib.py:291(splitroot)
2,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
1,0.000,0.000,0.000,0.000,{method 'from_buffer' of '_ctypes.PyCArrayType' objects}
12,0.000,0.000,0.000,0.000,{built-in method sys.intern}
2,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/site-packages/numpy/core/_asarray.py:88(asanyarray)
1,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/codecs.py:186(__init__)
2,0.000,0.000,0.000,0.000,{built-in method posix.close}
14,0.000,0.000,0.000,0.000,{built-in method builtins.len}
1,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:259(_make_iterencode)
8,0.000,0.000,0.000,0.000,{built-in method __new__ of type object at 0x561dc8d1d260}
8,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/pathlib.py:1017(_init)
