ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.002,0.002,4.096,4.096,/scratch/nathanp/gpu-radix-sort/faasTest/f.py:45(f)
1,2.444,2.444,2.444,2.444,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/sort.py:108(sortPartial)
1,0.000,0.000,0.752,0.752,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:301(writeOutput)
1,0.166,0.166,0.688,0.688,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:265(readPartRefs)
1,0.000,0.000,0.548,0.548,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:215(WriteAll)
1,0.547,0.547,0.547,0.547,{method 'write' of '_io.BufferedRandom' objects}
65540,0.036,0.000,0.521,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:236(read)
65540,0.080,0.000,0.485,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:177(ReadPart)
65540,0.330,0.000,0.330,0.000,{method 'readinto' of '_io.BufferedRandom' objects}
1,0.000,0.000,0.211,0.211,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:280(getPartRefs)
1,0.013,0.013,0.211,0.211,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:284(<listcomp>)
65540,0.089,0.000,0.197,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:247(__fileGetRef)
1,0.000,0.000,0.172,0.172,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:165(Close)
1,0.000,0.000,0.172,0.172,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:127(__commitMeta)
1,0.032,0.032,0.172,0.172,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:120(dump)
131082,0.019,0.000,0.120,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:413(_iterencode)
131082,0.019,0.000,0.101,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:333(_iterencode_dict)
131076,0.060,0.000,0.082,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:277(_iterencode_list)
65541,0.075,0.000,0.075,0.000,{method 'seek' of '_io.BufferedRandom' objects}
65540,0.057,0.000,0.057,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:230(__init__)
2,0.000,0.000,0.051,0.026,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:149(Open)
4,0.043,0.011,0.047,0.012,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:35(__init__)
2,0.000,0.000,0.027,0.013,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:274(load)
2,0.000,0.000,0.025,0.012,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:299(loads)
2,0.000,0.000,0.025,0.012,/home/eecs/nathanp/anaconda3/lib/python3.7/json/decoder.py:332(decode)
2,0.025,0.012,0.025,0.012,/home/eecs/nathanp/anaconda3/lib/python3.7/json/decoder.py:343(raw_decode)
262183,0.023,0.000,0.023,0.000,{built-in method builtins.isinstance}
131081,0.020,0.000,0.020,0.000,{method 'write' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.012,0.012,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:133(Create)
1,0.000,0.000,0.012,0.012,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:58(fromCaps)
4,0.005,0.001,0.005,0.001,{built-in method numpy.array}
11,0.003,0.000,0.003,0.000,{method 'copy' of 'list' objects}
5,0.002,0.000,0.002,0.000,{built-in method builtins.sum}
1,0.002,0.002,0.002,0.002,{method 'tolist' of 'numpy.ndarray' objects}
2,0.001,0.000,0.002,0.001,{method 'read' of '_io.TextIOWrapper' objects}
2,0.000,0.000,0.001,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/codecs.py:319(decode)
2,0.001,0.000,0.001,0.000,{built-in method _codecs.utf_8_decode}
1,0.000,0.000,0.001,0.001,<__array_function__ internals>:2(diff)
3/1,0.000,0.000,0.001,0.001,{built-in method numpy.core._multiarray_umath.implement_array_function}
