ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.008,0.008,8.932,8.932,/scratch/nathanp/gpu-radix-sort/faasTest/f.py:45(f)
1,0.000,0.000,5.977,5.977,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:301(writeOutput)
1,0.000,0.000,5.004,5.004,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:215(WriteAll)
1,5.003,5.003,5.003,5.003,{method 'write' of '_io.BufferedRandom' objects}
1,2.553,2.553,2.553,2.553,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/sort.py:108(sortPartial)
1,0.000,0.000,0.939,0.939,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:165(Close)
1,0.748,0.748,0.939,0.939,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:127(__commitMeta)
1,0.128,0.128,0.393,0.393,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:265(readPartRefs)
1,0.000,0.000,0.265,0.265,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:236(read)
1,0.000,0.000,0.265,0.265,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:177(ReadPart)
1,0.265,0.265,0.265,0.265,{method 'readinto' of '_io.BufferedRandom' objects}
1,0.036,0.036,0.191,0.191,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:120(dump)
131082,0.020,0.000,0.134,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:413(_iterencode)
131082,0.020,0.000,0.113,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:333(_iterencode_dict)
131076,0.068,0.000,0.093,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:277(_iterencode_list)
3,0.023,0.008,0.025,0.008,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:35(__init__)
262175,0.025,0.000,0.025,0.000,{built-in method builtins.isinstance}
131081,0.022,0.000,0.022,0.000,{method 'write' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.014,0.014,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:133(Create)
1,0.000,0.000,0.013,0.013,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:58(fromCaps)
4,0.005,0.001,0.005,0.001,{built-in method numpy.array}
9,0.002,0.000,0.002,0.000,{method 'copy' of 'list' objects}
