ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,2.729,2.729,/scratch/nathanp/gpu-radix-sort/faasTest/f.py:45(f)
1,1.840,1.840,1.840,1.840,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/sort.py:108(sortPartial)
1,0.000,0.000,0.529,0.529,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:301(writeOutput)
1,0.000,0.000,0.528,0.528,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:215(WriteAll)
1,0.528,0.528,0.528,0.528,{method 'write' of '_io.BufferedRandom' objects}
1,0.120,0.120,0.359,0.359,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:265(readPartRefs)
257,0.001,0.000,0.239,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:236(read)
257,0.001,0.000,0.239,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:177(ReadPart)
257,0.236,0.001,0.236,0.001,{method 'readinto' of '_io.BufferedRandom' objects}
258,0.001,0.000,0.001,0.000,{method 'seek' of '_io.BufferedRandom' objects}
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:165(Close)
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:280(getPartRefs)
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:284(<listcomp>)
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:127(__commitMeta)
257,0.000,0.000,0.001,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:247(__fileGetRef)
1,0.000,0.000,0.001,0.001,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:120(dump)
522,0.000,0.000,0.001,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:413(_iterencode)
2,0.000,0.000,0.001,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:149(Open)
