ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.003,0.003,4.325,4.325,/scratch/nathanp/gpu-radix-sort/faasTest/f.py:45(f)
1,2.438,2.438,2.438,2.438,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/sort.py:108(sortPartial)
1,0.000,0.000,1.026,1.026,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:301(writeOutput)
1,0.166,0.166,0.692,0.692,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:265(readPartRefs)
65540,0.037,0.000,0.526,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:236(read)
1,0.000,0.000,0.513,0.513,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:215(WriteAll)
1,0.512,0.512,0.512,0.512,{method 'write' of '_io.BufferedRandom' objects}
65540,0.078,0.000,0.488,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:177(ReadPart)
1,0.000,0.000,0.482,0.482,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:165(Close)
1,0.306,0.306,0.482,0.482,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:127(__commitMeta)
65540,0.336,0.000,0.336,0.000,{method 'readinto' of '_io.BufferedRandom' objects}
1,0.033,0.033,0.175,0.175,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:120(dump)
1,0.000,0.000,0.167,0.167,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:280(getPartRefs)
1,0.010,0.010,0.167,0.167,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:284(<listcomp>)
65540,0.066,0.000,0.156,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:247(__fileGetRef)
131082,0.019,0.000,0.122,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:413(_iterencode)
131082,0.019,0.000,0.103,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:333(_iterencode_dict)
131076,0.060,0.000,0.083,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:277(_iterencode_list)
65541,0.075,0.000,0.075,0.000,{method 'seek' of '_io.BufferedRandom' objects}
2,0.000,0.000,0.049,0.024,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:149(Open)
4,0.042,0.010,0.046,0.011,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:35(__init__)
65540,0.042,0.000,0.042,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:230(__init__)
2,0.000,0.000,0.025,0.013,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:274(load)
2,0.000,0.000,0.024,0.012,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:299(loads)
2,0.000,0.000,0.024,0.012,/home/eecs/nathanp/anaconda3/lib/python3.7/json/decoder.py:332(decode)
2,0.024,0.012,0.024,0.012,/home/eecs/nathanp/anaconda3/lib/python3.7/json/decoder.py:343(raw_decode)
